id,description,payload,context,example_query,is_attack,attack_type
33,Legitimate but noisy web request,/download/pCWynvqN_script.pdf,Web Traffic,Normal request,No,
34,Legitimate but noisy web request,/search?q=select+eRG11QbF&page=7,Web Traffic,Normal request,No,
35,Legitimate but noisy web request,/blog/script-XnEgyvSi-tips,Web Traffic,Normal request,No,
36,Legitimate but noisy web request,/admin/tools?cmd=view&id=89667,Web Traffic,Normal request,No,
37,Legitimate but noisy web request,/page?name=FlwHY5CT&status=active,Web Traffic,Normal request,No,
38,Legitimate but noisy web request,/search?q=select+a82fxRsr&page=9,Web Traffic,Normal request,No,
39,Legitimate but noisy web request,/page?name=3eCsjV8P&status=active,Web Traffic,Normal request,No,
40,Legitimate but noisy web request,user_input=h9EEEM4Q%3Ctest%3E,Web Traffic,Normal request,No,
41,Legitimate but noisy web request,/page?name=ysDXD6td&status=active,Web Traffic,Normal request,No,
42,Legitimate but noisy web request,/product?id=59354&desc=<b>zMR6FFSe</b>,Web Traffic,Normal request,No,
43,Legitimate but noisy web request,/download/76PE99s7_script.pdf,Web Traffic,Normal request,No,
44,Legitimate but noisy web request,/search?q=select+835Fi3ah&page=10,Web Traffic,Normal request,No,
45,Legitimate but noisy web request,/page?name=7nbOVOOD&status=active,Web Traffic,Normal request,No,
46,Legitimate but noisy web request,/search?q=select+WeUnZnHc&page=3,Web Traffic,Normal request,No,
47,Legitimate but noisy web request,/page?name=oYpHBxyN&status=active,Web Traffic,Normal request,No,
48,Legitimate but noisy web request,/download/jG0Kuwff_script.pdf,Web Traffic,Normal request,No,
49,Legitimate but noisy web request,/admin/tools?cmd=view&id=68429,Web Traffic,Normal request,No,
50,Legitimate but noisy web request,/product?id=24805&desc=<b>OKXsY4Ni</b>,Web Traffic,Normal request,No,
51,Legitimate but noisy web request,/product?id=20501&desc=<b>p2TRH4S1</b>,Web Traffic,Normal request,No,
52,Legitimate but noisy web request,/api/data/Pf4GJARD?token=067c2df3f0536836,Web Traffic,Normal request,No,
53,Legitimate but noisy web request,/download/opmFpf8u_script.pdf,Web Traffic,Normal request,No,
54,Legitimate but noisy web request,/admin/tools?cmd=view&id=17867,Web Traffic,Normal request,No,
55,Legitimate but noisy web request,/page?name=jpiEdYyA&status=active,Web Traffic,Normal request,No,
56,Legitimate but noisy web request,/search?q=select+ic7iTTil&page=7,Web Traffic,Normal request,No,
57,Legitimate but noisy web request,/page?name=PQFVZq89&status=active,Web Traffic,Normal request,No,
58,Legitimate but noisy web request,/download/vdM5zc7p_script.pdf,Web Traffic,Normal request,No,
59,Legitimate but noisy web request,/search?q=select+O4425EhP&page=5,Web Traffic,Normal request,Yes,XSS
60,Legitimate but noisy web request,/page?name=prJ47Jkq&status=active,Web Traffic,Normal request,No,
61,Legitimate but noisy web request,/download/8uz8SoNp_script.pdf,Web Traffic,Normal request,No,
62,Legitimate but noisy web request,/product?id=90906&desc=<b>lHOpXORO</b>,Web Traffic,Normal request,Yes,XSS
63,Legitimate but noisy web request,/search?q=select+0JmqIhrs&page=7,Web Traffic,Normal request,No,
64,Legitimate but noisy web request,/product?id=44406&desc=<b>Auyuyfwl</b>,Web Traffic,Normal request,No,
65,Legitimate but noisy web request,/page?name=86j9fVtE&status=active,Web Traffic,Normal request,No,
66,Legitimate but noisy web request,/page?name=Wa7RrkLn&status=active,Web Traffic,Normal request,No,
67,Legitimate but noisy web request,/page?name=4xD68NIc&status=active,Web Traffic,Normal request,No,
68,Legitimate but noisy web request,/blog/script-eqoC3uUU-tips,Web Traffic,Normal request,No,
69,Legitimate but noisy web request,/admin/tools?cmd=view&id=40051,Web Traffic,Normal request,No,
70,Legitimate but noisy web request,/api/data/yfiFmBX9?token=881e2e47b3c1beb4,Web Traffic,Normal request,No,
71,Legitimate but noisy web request,/search?q=select+XNvFVLTg&page=5,Web Traffic,Normal request,No,
72,Legitimate but noisy web request,/admin/tools?cmd=view&id=83088,Web Traffic,Normal request,No,
73,Legitimate but noisy web request,/admin/tools?cmd=view&id=17453,Web Traffic,Normal request,No,
74,Legitimate but noisy web request,/blog/script-YJkEE5bG-tips,Web Traffic,Normal request,No,
75,Legitimate but noisy web request,/blog/script-6l09xzE3-tips,Web Traffic,Normal request,No,
76,Legitimate but noisy web request,/product?id=88892&desc=<b>OC8RzOTJ</b>,Web Traffic,Normal request,No,
77,Legitimate but noisy web request,/page?name=xBb5ofoA&status=active,Web Traffic,Normal request,No,
78,Legitimate but noisy web request,/blog/script-Qcx8ZgaL-tips,Web Traffic,Normal request,No,
79,Legitimate but noisy web request,/admin/tools?cmd=view&id=69233,Web Traffic,Normal request,No,
80,Legitimate but noisy web request,/api/data/kIL2Hanp?token=1dd988cc5bd229d7,Web Traffic,Normal request,No,
81,Legitimate but noisy web request,/admin/tools?cmd=view&id=46935,Web Traffic,Normal request,No,
82,Legitimate but noisy web request,/search?q=select+NcCgagax&page=1,Web Traffic,Normal request,No,
83,Legitimate but noisy web request,user_input=a1Xt9Xgo%3Ctest%3E,Web Traffic,Normal request,Yes,CMDi
84,Legitimate but noisy web request,/admin/tools?cmd=view&id=67612,Web Traffic,Normal request,No,
85,Legitimate but noisy web request,/product?id=66258&desc=<b>lTeMRHvC</b>,Web Traffic,Normal request,No,
86,Legitimate but noisy web request,/blog/script-CGCVvs8v-tips,Web Traffic,Normal request,No,
87,Legitimate but noisy web request,user_input=CBYGgULh%3Ctest%3E,Web Traffic,Normal request,No,
88,Legitimate but noisy web request,/api/data/aizBl6tW?token=20f319dddd5be9dc,Web Traffic,Normal request,No,
89,Legitimate but noisy web request,/product?id=51065&desc=<b>nuHD03Oz</b>,Web Traffic,Normal request,No,
90,Legitimate but noisy web request,/blog/script-f0zOVLyF-tips,Web Traffic,Normal request,No,
91,Legitimate but noisy web request,/download/hnVIqZ6X_script.pdf,Web Traffic,Normal request,No,
92,Legitimate but noisy web request,user_input=O738mD5X%3Ctest%3E,Web Traffic,Normal request,No,
93,Legitimate but noisy web request,/admin/tools?cmd=view&id=32243,Web Traffic,Normal request,No,
94,Legitimate but noisy web request,/product?id=46760&desc=<b>PoQlkptb</b>,Web Traffic,Normal request,No,
95,Legitimate but noisy web request,/blog/script-uuRRktm7-tips,Web Traffic,Normal request,No,
96,Legitimate but noisy web request,/api/data/oORKukcQ?token=278545e6e0dd4cf8,Web Traffic,Normal request,No,
97,Legitimate but noisy web request,/page?name=L0sjiE2q&status=active,Web Traffic,Normal request,No,
98,Legitimate but noisy web request,/page?name=NpHqaqex&status=active,Web Traffic,Normal request,No,
99,Legitimate but noisy web request,/download/aUw1qzqt_script.pdf,Web Traffic,Normal request,No,
100,Legitimate but noisy web request,/page?name=NC4nyGAx&status=active,Web Traffic,Normal request,No,
101,Legitimate but noisy web request,user_input=GgrD43qq%3Ctest%3E,Web Traffic,Normal request,No,
102,Legitimate but noisy web request,/blog/script-bJDeKgsL-tips,Web Traffic,Normal request,No,
103,Legitimate but noisy web request,/api/data/p2y94h01?token=2d890fb020ef2657,Web Traffic,Normal request,No,
104,Legitimate but noisy web request,/download/F2xQJw7m_script.pdf,Web Traffic,Normal request,No,
105,Legitimate but noisy web request,/admin/tools?cmd=view&id=17396,Web Traffic,Normal request,No,
106,Legitimate but noisy web request,/page?name=zW25s0nt&status=active,Web Traffic,Normal request,No,
107,Legitimate but noisy web request,user_input=tnslIEDF%3Ctest%3E,Web Traffic,Normal request,No,
108,Legitimate but noisy web request,/api/data/cmqcvpGq?token=795715d58f8e9070,Web Traffic,Normal request,No,
109,Legitimate but noisy web request,/search?q=select+RiIRkF2v&page=6,Web Traffic,Normal request,No,
110,Legitimate but noisy web request,/search?q=select+Aw77eBXf&page=2,Web Traffic,Normal request,No,
111,Legitimate but noisy web request,/download/9XGeXCFM_script.pdf,Web Traffic,Normal request,No,
112,Legitimate but noisy web request,/api/data/0mjgnCjc?token=4aa02b44df543fbc,Web Traffic,Normal request,No,
113,Legitimate but noisy web request,/blog/script-RGfVA3W9-tips,Web Traffic,Normal request,No,
114,Legitimate but noisy web request,/download/QEqZCB8G_script.pdf,Web Traffic,Normal request,No,
115,Legitimate but noisy web request,user_input=QlezWrCJ%3Ctest%3E,Web Traffic,Normal request,No,
116,Legitimate but noisy web request,user_input=SvIsxVYw%3Ctest%3E,Web Traffic,Normal request,No,
117,Legitimate but noisy web request,/product?id=35823&desc=<b>ifeJ6rQK</b>,Web Traffic,Normal request,No,
118,Legitimate but noisy web request,/search?q=select+OwWFQBcs&page=7,Web Traffic,Normal request,No,
119,Legitimate but noisy web request,/blog/script-Ql4KsA2J-tips,Web Traffic,Normal request,No,
120,Legitimate but noisy web request,/api/data/jPYcOP7s?token=921377f7c5b71784,Web Traffic,Normal request,No,
121,Legitimate but noisy web request,/page?name=9PNu3N5K&status=active,Web Traffic,Normal request,No,
122,Legitimate but noisy web request,/admin/tools?cmd=view&id=97413,Web Traffic,Normal request,No,
123,Legitimate but noisy web request,/product?id=34957&desc=<b>FOjwqegv</b>,Web Traffic,Normal request,No,
124,Legitimate but noisy web request,/product?id=29396&desc=<b>ZGLqWlrl</b>,Web Traffic,Normal request,No,
125,Legitimate but noisy web request,/admin/tools?cmd=view&id=89240,Web Traffic,Normal request,No,
126,Legitimate but noisy web request,/search?q=select+aIQ7dpyN&page=5,Web Traffic,Normal request,No,
127,Legitimate but noisy web request,/blog/script-xFTUbRGu-tips,Web Traffic,Normal request,No,
128,Legitimate but noisy web request,/product?id=60787&desc=<b>tkHNCxhM</b>,Web Traffic,Normal request,Yes,XSS
129,Legitimate but noisy web request,/search?q=select+NEgH9CPS&page=10,Web Traffic,Normal request,No,
130,Legitimate but noisy web request,/api/data/fwbQgJ7k?token=efb02c7642b35cff,Web Traffic,Normal request,No,
131,Legitimate but noisy web request,/product?id=50638&desc=<b>xRbEIxV7</b>,Web Traffic,Normal request,No,
132,Legitimate but noisy web request,/download/wSdCJ7Dh_script.pdf,Web Traffic,Normal request,No,
133,Legitimate but noisy web request,/api/data/vJl5L8pR?token=a0df8d9454e929db,Web Traffic,Normal request,No,
134,Legitimate but noisy web request,/download/u1wMSGVh_script.pdf,Web Traffic,Normal request,No,
135,Legitimate but noisy web request,/search?q=select+qxeipG45&page=6,Web Traffic,Normal request,No,
136,Legitimate but noisy web request,/product?id=97948&desc=<b>ISPmVFWO</b>,Web Traffic,Normal request,No,
137,Legitimate but noisy web request,/api/data/tWw1irgY?token=151f4d52cca7a549,Web Traffic,Normal request,No,
138,Legitimate but noisy web request,/blog/script-RumVi2bF-tips,Web Traffic,Normal request,No,
139,Legitimate but noisy web request,/product?id=33309&desc=<b>AIpTtAKa</b>,Web Traffic,Normal request,No,
140,Legitimate but noisy web request,/page?name=lpOHzMsH&status=active,Web Traffic,Normal request,No,
141,Legitimate but noisy web request,user_input=YatjTwhQ%3Ctest%3E,Web Traffic,Normal request,No,
142,Legitimate but noisy web request,/api/data/cJusmRZ0?token=353a007f1a576bca,Web Traffic,Normal request,No,
143,Legitimate but noisy web request,/product?id=69095&desc=<b>R7EdDaew</b>,Web Traffic,Normal request,No,
144,Legitimate but noisy web request,user_input=ZA9T6C53%3Ctest%3E,Web Traffic,Normal request,No,
145,Legitimate but noisy web request,user_input=yZRfvwPU%3Ctest%3E,Web Traffic,Normal request,No,
146,Legitimate but noisy web request,user_input=VcaYA6BN%3Ctest%3E,Web Traffic,Normal request,No,
147,Legitimate but noisy web request,/search?q=select+2nmfQPCY&page=5,Web Traffic,Normal request,No,
148,Legitimate but noisy web request,/admin/tools?cmd=view&id=62257,Web Traffic,Normal request,No,
149,Legitimate but noisy web request,/download/tFkFaSdk_script.pdf,Web Traffic,Normal request,No,
150,Legitimate but noisy web request,/admin/tools?cmd=view&id=10674,Web Traffic,Normal request,No,
151,Legitimate but noisy web request,/product?id=3172&desc=<b>zXZejSbS</b>,Web Traffic,Normal request,No,
152,Legitimate but noisy web request,/product?id=60362&desc=<b>3fW9gVIb</b>,Web Traffic,Normal request,Yes,XSS
153,Legitimate but noisy web request,/download/H7ySsqp5_script.pdf,Web Traffic,Normal request,No,
154,Legitimate but noisy web request,/download/IChrYYju_script.pdf,Web Traffic,Normal request,No,
155,Legitimate but noisy web request,/page?name=UEZUBL53&status=active,Web Traffic,Normal request,No,
156,Legitimate but noisy web request,/admin/tools?cmd=view&id=55729,Web Traffic,Normal request,No,
157,Legitimate but noisy web request,/admin/tools?cmd=view&id=40973,Web Traffic,Normal request,No,
158,Legitimate but noisy web request,user_input=BmRjKpeK%3Ctest%3E,Web Traffic,Normal request,No,
159,Legitimate but noisy web request,/product?id=14991&desc=<b>mlC0pYKI</b>,Web Traffic,Normal request,No,
160,Legitimate but noisy web request,/blog/script-NuoUPNos-tips,Web Traffic,Normal request,No,
161,Legitimate but noisy web request,/page?name=Oij1bErf&status=active,Web Traffic,Normal request,No,
162,Legitimate but noisy web request,/product?id=13503&desc=<b>cpp8jiB1</b>,Web Traffic,Normal request,No,
163,Legitimate but noisy web request,/download/cuIz0Jiu_script.pdf,Web Traffic,Normal request,No,
164,Legitimate but noisy web request,user_input=Cc3e4GpH%3Ctest%3E,Web Traffic,Normal request,No,
165,Legitimate but noisy web request,/download/MDf2AKl7_script.pdf,Web Traffic,Normal request,No,
166,Legitimate but noisy web request,user_input=bPCbITsr%3Ctest%3E,Web Traffic,Normal request,No,
167,Legitimate but noisy web request,user_input=SVeILkh6%3Ctest%3E,Web Traffic,Normal request,No,
168,Legitimate but noisy web request,/admin/tools?cmd=view&id=44503,Web Traffic,Normal request,No,
169,Legitimate but noisy web request,/page?name=V4xdn1Ga&status=active,Web Traffic,Normal request,No,
170,Legitimate but noisy web request,user_input=LGyLzXnE%3Ctest%3E,Web Traffic,Normal request,No,
171,Legitimate but noisy web request,/download/gvN2Wzbq_script.pdf,Web Traffic,Normal request,No,
172,Legitimate but noisy web request,/api/data/Buu1Fk53?token=dd641cef40195d31,Web Traffic,Normal request,No,
173,Legitimate but noisy web request,/blog/script-Bd5nj9GH-tips,Web Traffic,Normal request,No,
174,Legitimate but noisy web request,/api/data/toIUOLtf?token=5aa25c586683ef25,Web Traffic,Normal request,No,
175,Legitimate but noisy web request,user_input=mnEjgot2%3Ctest%3E,Web Traffic,Normal request,No,
176,Legitimate but noisy web request,/search?q=select+bmSpeUkE&page=3,Web Traffic,Normal request,No,
177,Legitimate but noisy web request,/page?name=Ka1R9my0&status=active,Web Traffic,Normal request,No,
178,Legitimate but noisy web request,/page?name=w016Oupy&status=active,Web Traffic,Normal request,No,
179,Legitimate but noisy web request,user_input=mDhvzNU3%3Ctest%3E,Web Traffic,Normal request,No,
180,Legitimate but noisy web request,/admin/tools?cmd=view&id=28092,Web Traffic,Normal request,No,
181,Legitimate but noisy web request,/blog/script-gGH1jvF7-tips,Web Traffic,Normal request,No,
182,Legitimate but noisy web request,/api/data/m6RDDO7S?token=df788d5cd79c866b,Web Traffic,Normal request,No,
183,Legitimate but noisy web request,/download/rcTUyQUk_script.pdf,Web Traffic,Normal request,No,
184,Legitimate but noisy web request,user_input=CXyxEAB7%3Ctest%3E,Web Traffic,Normal request,No,
185,Legitimate but noisy web request,/blog/script-OhgRmJuK-tips,Web Traffic,Normal request,No,
186,Legitimate but noisy web request,/blog/script-nDB2Dkol-tips,Web Traffic,Normal request,No,
187,Legitimate but noisy web request,user_input=bdRit7Ve%3Ctest%3E,Web Traffic,Normal request,No,
188,Legitimate but noisy web request,/api/data/RilAHTDK?token=7476ad7eddc98eb6,Web Traffic,Normal request,No,
189,Legitimate but noisy web request,/search?q=select+N7fGKoPt&page=2,Web Traffic,Normal request,No,
190,Legitimate but noisy web request,user_input=owi4kypn%3Ctest%3E,Web Traffic,Normal request,No,
191,Legitimate but noisy web request,/api/data/TvrLZ8It?token=91d204ce8ea5690e,Web Traffic,Normal request,No,
192,Legitimate but noisy web request,/search?q=select+hfNDirOp&page=9,Web Traffic,Normal request,No,
193,Legitimate but noisy web request,/api/data/i3HUa8nY?token=ed7453b9beebbecf,Web Traffic,Normal request,Yes,XSS
194,Legitimate but noisy web request,/api/data/rDumqyCB?token=e29c645687701237,Web Traffic,Normal request,Yes,CMDi
195,Legitimate but noisy web request,/blog/script-pVEmjf0d-tips,Web Traffic,Normal request,No,
196,Legitimate but noisy web request,/page?name=SO5PMSmK&status=active,Web Traffic,Normal request,No,
197,Legitimate but noisy web request,/blog/script-85HmyZeZ-tips,Web Traffic,Normal request,No,
198,Legitimate but noisy web request,/api/data/27vkbGOh?token=7f34fc251508981f,Web Traffic,Normal request,No,
199,Legitimate but noisy web request,/product?id=94318&desc=<b>hyPhEvO1</b>,Web Traffic,Normal request,No,
200,Legitimate but noisy web request,/admin/tools?cmd=view&id=50021,Web Traffic,Normal request,Yes,CMDi
201,Legitimate but noisy web request,/admin/tools?cmd=view&id=94174,Web Traffic,Normal request,No,
202,Legitimate but noisy web request,/page?name=yZ7SDzGX&status=active,Web Traffic,Normal request,No,
203,Legitimate but noisy web request,/product?id=28998&desc=<b>kedLbE8x</b>,Web Traffic,Normal request,No,
204,Legitimate but noisy web request,/page?name=GfeGhpc4&status=active,Web Traffic,Normal request,No,
205,Legitimate but noisy web request,/api/data/DqsCrSBN?token=cdf24402dfc0ac94,Web Traffic,Normal request,No,
206,Legitimate but noisy web request,user_input=KPI5s4X5%3Ctest%3E,Web Traffic,Normal request,No,
207,Legitimate but noisy web request,user_input=lv47GXtT%3Ctest%3E,Web Traffic,Normal request,Yes,SQLi
208,Legitimate but noisy web request,/search?q=select+Atyyop24&page=7,Web Traffic,Normal request,No,
209,Legitimate but noisy web request,/search?q=select+8XrMPGNJ&page=9,Web Traffic,Normal request,No,
210,Legitimate but noisy web request,/download/Dc42dhcv_script.pdf,Web Traffic,Normal request,No,
211,Legitimate but noisy web request,/product?id=10092&desc=<b>PlWkXaY2</b>,Web Traffic,Normal request,No,
212,Legitimate but noisy web request,/page?name=7N4usJGm&status=active,Web Traffic,Normal request,No,
213,Legitimate but noisy web request,/api/data/4C8uD7ui?token=f1bb8e7e893c365d,Web Traffic,Normal request,No,
214,Legitimate but noisy web request,/api/data/7rOKrYuB?token=6b197e0934ba630e,Web Traffic,Normal request,No,
215,Legitimate but noisy web request,/blog/script-u7YjequR-tips,Web Traffic,Normal request,No,
216,Legitimate but noisy web request,/api/data/oGawpHp2?token=f753c69c415f0ec8,Web Traffic,Normal request,No,
217,Legitimate but noisy web request,/download/hmlEpXgU_script.pdf,Web Traffic,Normal request,No,
218,Legitimate but noisy web request,user_input=LYxaAkDE%3Ctest%3E,Web Traffic,Normal request,No,
219,Legitimate but noisy web request,user_input=6frTNTqd%3Ctest%3E,Web Traffic,Normal request,No,
220,Legitimate but noisy web request,/page?name=YpvCrzxk&status=active,Web Traffic,Normal request,No,
221,Legitimate but noisy web request,/product?id=89251&desc=<b>YlDlO2a6</b>,Web Traffic,Normal request,No,
222,Legitimate but noisy web request,/blog/script-bvgYm9il-tips,Web Traffic,Normal request,No,
223,Legitimate but noisy web request,/page?name=VmKS8tnn&status=active,Web Traffic,Normal request,No,
224,Legitimate but noisy web request,/product?id=9785&desc=<b>uRM9FhQS</b>,Web Traffic,Normal request,No,
225,Legitimate but noisy web request,/page?name=9DpHdbAv&status=active,Web Traffic,Normal request,No,
226,Legitimate but noisy web request,/api/data/W4mZpuPc?token=7fc168c260ed4a95,Web Traffic,Normal request,No,
227,Legitimate but noisy web request,user_input=fuYDYomk%3Ctest%3E,Web Traffic,Normal request,No,
228,Legitimate but noisy web request,/blog/script-YqPvs43v-tips,Web Traffic,Normal request,No,
229,Legitimate but noisy web request,user_input=YBayb3Id%3Ctest%3E,Web Traffic,Normal request,No,
230,Legitimate but noisy web request,/search?q=select+8ojjiTYP&page=6,Web Traffic,Normal request,No,
231,Legitimate but noisy web request,/admin/tools?cmd=view&id=24778,Web Traffic,Normal request,No,
232,Legitimate but noisy web request,/page?name=pRSMQBdj&status=active,Web Traffic,Normal request,No,
233,Legitimate but noisy web request,/admin/tools?cmd=view&id=1378,Web Traffic,Normal request,No,
234,Legitimate but noisy web request,user_input=QCZ68eUD%3Ctest%3E,Web Traffic,Normal request,No,
235,Legitimate but noisy web request,/blog/script-yCNIONYf-tips,Web Traffic,Normal request,No,
236,Legitimate but noisy web request,/product?id=13615&desc=<b>kY3hdbnO</b>,Web Traffic,Normal request,Yes,CMDi
237,Legitimate but noisy web request,/product?id=14134&desc=<b>YGLPGAE8</b>,Web Traffic,Normal request,No,
238,Legitimate but noisy web request,/admin/tools?cmd=view&id=42794,Web Traffic,Normal request,No,
239,Legitimate but noisy web request,/admin/tools?cmd=view&id=38966,Web Traffic,Normal request,No,
240,Legitimate but noisy web request,/download/zKXVjiyb_script.pdf,Web Traffic,Normal request,No,
241,Legitimate but noisy web request,/admin/tools?cmd=view&id=71424,Web Traffic,Normal request,No,
242,Legitimate but noisy web request,/product?id=46812&desc=<b>GnIhvTRF</b>,Web Traffic,Normal request,No,
243,Legitimate but noisy web request,/admin/tools?cmd=view&id=5496,Web Traffic,Normal request,No,
244,Legitimate but noisy web request,/product?id=66837&desc=<b>pzNMXtsL</b>,Web Traffic,Normal request,Yes,CMDi
245,Legitimate but noisy web request,/page?name=eRa0Wec7&status=active,Web Traffic,Normal request,No,
246,Legitimate but noisy web request,/search?q=select+ktnB3LWv&page=3,Web Traffic,Normal request,No,
247,Legitimate but noisy web request,/page?name=nU859KMA&status=active,Web Traffic,Normal request,Yes,CMDi
248,Legitimate but noisy web request,/api/data/oIM5zVil?token=1b508948cfcf2f2e,Web Traffic,Normal request,No,
249,Legitimate but noisy web request,/search?q=select+Lpz0BK6j&page=10,Web Traffic,Normal request,No,
250,Legitimate but noisy web request,/api/data/3Y0NGzJY?token=e5e21ea127842018,Web Traffic,Normal request,No,
251,Legitimate but noisy web request,/page?name=tcYLl5Jx&status=active,Web Traffic,Normal request,No,
252,Legitimate but noisy web request,/admin/tools?cmd=view&id=26448,Web Traffic,Normal request,No,
253,Legitimate but noisy web request,/blog/script-X4uFtESH-tips,Web Traffic,Normal request,No,
254,Legitimate but noisy web request,/admin/tools?cmd=view&id=43497,Web Traffic,Normal request,No,
255,Legitimate but noisy web request,/search?q=select+M16fRWTr&page=3,Web Traffic,Normal request,No,
256,Legitimate but noisy web request,user_input=dU7BCKT9%3Ctest%3E,Web Traffic,Normal request,No,
257,Legitimate but noisy web request,user_input=1ali2SE4%3Ctest%3E,Web Traffic,Normal request,No,
258,Legitimate but noisy web request,user_input=RbSdqgI9%3Ctest%3E,Web Traffic,Normal request,No,
259,Legitimate but noisy web request,/admin/tools?cmd=view&id=94123,Web Traffic,Normal request,No,
260,Legitimate but noisy web request,/page?name=SVUie01i&status=active,Web Traffic,Normal request,No,
261,Legitimate but noisy web request,/blog/script-GDaX6LTF-tips,Web Traffic,Normal request,No,
262,Legitimate but noisy web request,/product?id=47782&desc=<b>6IIwFUBg</b>,Web Traffic,Normal request,No,
263,Legitimate but noisy web request,/blog/script-vp9Unbc8-tips,Web Traffic,Normal request,No,
264,Legitimate but noisy web request,/admin/tools?cmd=view&id=93466,Web Traffic,Normal request,No,
265,Legitimate but noisy web request,/admin/tools?cmd=view&id=87775,Web Traffic,Normal request,Yes,XSS
266,Legitimate but noisy web request,/api/data/4AIq7eZD?token=9691ef71059d6196,Web Traffic,Normal request,No,
267,Legitimate but noisy web request,/search?q=select+BFTd87jF&page=8,Web Traffic,Normal request,No,
268,Legitimate but noisy web request,/search?q=select+VLmkjkNu&page=3,Web Traffic,Normal request,No,
269,Legitimate but noisy web request,/download/LP3RADBZ_script.pdf,Web Traffic,Normal request,No,
270,Legitimate but noisy web request,/admin/tools?cmd=view&id=2794,Web Traffic,Normal request,No,
271,Legitimate but noisy web request,/page?name=G1XeXMMU&status=active,Web Traffic,Normal request,No,
272,Legitimate but noisy web request,/search?q=select+qKiVav5m&page=8,Web Traffic,Normal request,No,
273,Legitimate but noisy web request,/admin/tools?cmd=view&id=64191,Web Traffic,Normal request,Yes,SQLi
274,Legitimate but noisy web request,/product?id=37060&desc=<b>njRTJaok</b>,Web Traffic,Normal request,No,
275,Legitimate but noisy web request,/blog/script-300OlVpr-tips,Web Traffic,Normal request,No,
276,Legitimate but noisy web request,user_input=IRE6rC7S%3Ctest%3E,Web Traffic,Normal request,Yes,SQLi
277,Legitimate but noisy web request,user_input=rn9maiNM%3Ctest%3E,Web Traffic,Normal request,No,
278,Legitimate but noisy web request,/admin/tools?cmd=view&id=76557,Web Traffic,Normal request,No,
